Question,Module
Explain the concept of Markov’s inequality and its applications.,1
What is the difference between joint and marginal probability distributions?,1
How does a probability simplex help in probabilistic models?,1
Describe the impact of different step-size schedules in gradient descent.,2
What are quasi-Newton methods and how do they improve optimization?,2
Explain the role of barrier methods in constrained optimization.,2
What is the difference between convex and non-convex optimization?,2
How do interior-point methods work for constrained optimization?,2
What is the role of the Wolfe conditions in line search optimization?,2
How do ridge regression and lasso regression differ in regularization?,3
Explain the concept of heteroscedasticity in regression models.,3
What is the impact of multicollinearity in multiple regression models?,3
Describe the concept of an influence function in regression analysis.,3
How does dropout regularization affect logistic regression?,3
What is the difference between generative and discriminative classifiers?,3
What is the role of Gaussian Processes in regression and classification?,4
How does feature extraction differ from feature selection?,4
Describe the impact of kernel selection in non-linear SVM classification.,4
How does linear separability affect the performance of an SVM?,4
What are the advantages of structured SVM models?,4
Explain the significance of Laplacian Eigenmaps in dimensionality reduction.,4
How does ICA (Independent Component Analysis) differ from PCA?,4
What is the role of hyperparameter tuning in SVM performance?,4
Explain the concept of Bayesian PCA and its advantages.,4
What is the effect of different similarity measures in clustering-based dimensionality reduction?,4
How does a supervised dimensionality reduction technique differ from an unsupervised one?,4
Describe the role of non-negative matrix factorization (NMF) in feature learning.,4
